calc_id,description,cal_time,recording_stations,gmlt,rupture,max_distance,gmpe,imt,max_gmv,nominal_bias_mean,nominal_bias_stdev,abs_bias
13,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:150km
",318, Seismic, Adjusted, Stevens, 150km,YoungsEtAl1997SInter,PGA,0.34594506,-0.448,0.177,0.448
20,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:250km
",302, Seismic, Adjusted, Yagi, 250km,CauzziEtAl2014,PGA,0.5031879,-0.452,0.185,0.452
22,"20150425_M7.8_Gorkha median gmf, Stations:All_Panjamani_USGS, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:150km
",759, All_Panjamani_USGS, Adjusted, Kobayashi, 150km,CauzziEtAl2014,PGA,0.557743,-0.453,0.129,0.453
23,"20150425_M7.8_Gorkha median gmf, Stations:All_Panjamani_USGS, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:250km
",1027, All_Panjamani_USGS, Adjusted, Kobayashi, 250km,CauzziEtAl2014,PGA,0.5577421,-0.454,0.111,0.454
9,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:50km
",301, Seismic, Adjusted, Kobayashi, 50km,AbrahamsonEtAl2015SInter,PGA,0.44066796,-0.458,0.327,0.458
20,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:250km
",302, Seismic, Adjusted, Yagi, 250km,AbrahamsonEtAl2015SInter,PGA,0.55233425,-0.458,0.182,0.458
13,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:150km
",318, Seismic, Adjusted, Stevens, 150km,CauzziEtAl2014,PGA,0.38136053,-0.475,0.271,0.475
18,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:50km
",284, Seismic, Adjusted, Yagi, 50km,YoungsEtAl1997SInter,PGA,0.34768614,-0.478,0.255,0.478
12,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:50km
",318, Seismic, Adjusted, Stevens, 50km,YoungsEtAl1997SInter,PGA,0.34569055,-0.48,0.258,0.48
10,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:150km
",300, Seismic, Adjusted, Kobayashi, 150km,CauzziEtAl2014,PGA,0.38508087,-0.482,0.271,0.482
8,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:250km
",320, Seismic, Adjusted, Hayes, 250km,ChiouYoungs2014,PGA,0.5805957,-0.485,0.123,0.485
23,"20150425_M7.8_Gorkha median gmf, Stations:All_Panjamani_USGS, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:250km
",1027, All_Panjamani_USGS, Adjusted, Kobayashi, 250km,ZhaoEtAl2016SInter,PGA,0.5779695,-0.496,0.102,0.496
13,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:150km
",318, Seismic, Adjusted, Stevens, 150km,AbrahamsonEtAl2015SInter,PGA,0.43704054,-0.498,0.259,0.498
18,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:50km
",284, Seismic, Adjusted, Yagi, 50km,CauzziEtAl2014,PGA,0.4786831,-0.503,0.353,0.503
7,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Hayes, Max_dist:150km
",320, Seismic, Adjusted, Hayes, 150km,ChiouYoungs2014,PGA,0.5519498,-0.515,0.169,0.515
12,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:50km
",318, Seismic, Adjusted, Stevens, 50km,AbrahamsonEtAl2015SInter,PGA,0.4279654,-0.519,0.327,0.519
18,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:50km
",284, Seismic, Adjusted, Yagi, 50km,AbrahamsonEtAl2015SInter,PGA,0.5190905,-0.522,0.327,0.522
19,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:150km
",281, Seismic, Adjusted, Yagi, 150km,CauzziEtAl2014,PGA,0.46596596,-0.53,0.271,0.53
10,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:150km
",300, Seismic, Adjusted, Kobayashi, 150km,YoungsEtAl1997SInter,PGA,0.34684366,-0.54,0.176,0.54
10,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:150km
",300, Seismic, Adjusted, Kobayashi, 150km,AbrahamsonEtAl2015SInter,PGA,0.40500435,-0.542,0.259,0.542
12,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Stevens, Max_dist:50km
",318, Seismic, Adjusted, Stevens, 50km,CauzziEtAl2014,PGA,0.35553753,-0.547,0.353,0.547
19,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:150km
",281, Seismic, Adjusted, Yagi, 150km,YoungsEtAl1997SInter,PGA,0.34634647,-0.564,0.175,0.564
23,"20150425_M7.8_Gorkha median gmf, Stations:All_Panjamani_USGS, gmlt:Adjusted, Rupture:Kobayashi, Max_dist:250km
",1027, All_Panjamani_USGS, Adjusted, Kobayashi, 250km,ChiouYoungs2014,PGA,0.5580808,-0.583,0.085,0.583
19,"20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:Yagi, Max_dist:150km
",281, Seismic, Adjusted, Yagi, 150km,AbrahamsonEtAl2015SInter,PGA,0.48270535,-0.596,0.259,0.596
